
Episode: 182, total numsteps: 91000, episode steps: 500, reward: [178.92784083 183.80507255 185.08932194 189.13664787 186.35288557]
Episode: 183, total numsteps: 91500, episode steps: 500, reward: [176.26970183 182.84663477 185.41138387 190.45489376 185.61875543]
Episode: 184, total numsteps: 92000, episode steps: 500, reward: [179.53528884 181.30052662 186.22177973 189.45383451 187.80474824]
Episode: 185, total numsteps: 92500, episode steps: 500, reward: [177.24876486 181.16489249 186.96088416 190.77567251 185.19701412]
Episode: 186, total numsteps: 93000, episode steps: 500, reward: [179.00349727 183.87915939 184.1669456  189.35236478 185.28414814]
Episode: 187, total numsteps: 93500, episode steps: 500, reward: [177.78793839 184.00267568 185.62449748 186.96797965 187.72310512]
Episode: 188, total numsteps: 94000, episode steps: 500, reward: [177.20775372 184.0495472  183.79651101 189.3979818  182.92981938]
Episode: 189, total numsteps: 94500, episode steps: 500, reward: [177.23715166 180.15167379 184.84935422 188.53728769 187.74638296]
Episode: 190, total numsteps: 95000, episode steps: 500, reward: [178.74129459 182.62389017 186.41715736 189.10951984 185.34700483]
Episode: 191, total numsteps: 95500, episode steps: 500, reward: [177.45086918 181.82117454 185.26596766 187.50033617 185.522235  ]
Episode: 192, total numsteps: 96000, episode steps: 500, reward: [182.49013008 181.18211793 185.60447679 188.32297605 186.71781099]
Episode: 193, total numsteps: 96500, episode steps: 500, reward: [178.98394212 184.15297432 185.89799871 190.78663561 185.34708548]
Episode: 194, total numsteps: 97000, episode steps: 500, reward: [174.09201952 181.94313879 184.42036391 192.80981636 185.89947821]
Episode: 195, total numsteps: 97500, episode steps: 500, reward: [175.29609112 183.64155104 188.5990326  189.47456855 187.67074614]
Episode: 196, total numsteps: 98000, episode steps: 500, reward: [178.29753125 184.66201374 184.37603284 188.64570359 183.52329648]
Episode: 197, total numsteps: 98500, episode steps: 500, reward: [177.47140856 183.01742113 187.27380337 190.31573163 185.86761454]
Episode: 198, total numsteps: 99000, episode steps: 500, reward: [178.18885528 182.30717282 185.19962695 188.65506475 185.9204455 ]
Episode: 199, total numsteps: 99500, episode steps: 500, reward: [175.56234683 179.36793092 183.55693133 189.851697   187.53247335]
Episode: 200, total numsteps: 100000, episode steps: 500, reward: [177.69295989 181.55167379 183.01889676 189.34234852 185.84522404]
Episode: 201, total numsteps: 100500, episode steps: 500, reward: [179.65563498 181.4320561  185.64212299 186.46661973 184.61431466]
Episode: 202, total numsteps: 101000, episode steps: 500, reward: [176.35525368 182.79224387 185.13070383 188.822942   185.443366  ]
Episode: 203, total numsteps: 101500, episode steps: 500, reward: [173.59349295 181.19969892 188.32403689 187.03497189 185.06542708]
Episode: 204, total numsteps: 102000, episode steps: 500, reward: [176.47160638 182.62614466 183.17064857 188.68823331 185.69910601]
Episode: 205, total numsteps: 102500, episode steps: 500, reward: [175.74169346 182.8508297  182.64936688 191.58421252 185.76753702]
Episode: 206, total numsteps: 103000, episode steps: 500, reward: [176.90231798 182.61965368 183.22861709 190.25904763 185.73934469]
Episode: 207, total numsteps: 103500, episode steps: 500, reward: [179.38229164 183.92111678 183.89315529 189.78563169 187.64550998]
Episode: 208, total numsteps: 104000, episode steps: 500, reward: [176.90657589 187.11355186 183.84799984 190.87259859 187.29710089]
Episode: 209, total numsteps: 104500, episode steps: 500, reward: [175.96986947 180.70106466 185.51737581 188.10057998 185.00512116]
Episode: 210, total numsteps: 105000, episode steps: 500, reward: [180.95188282 183.01287044 184.83908475 187.23010497 186.13894504]
Episode: 211, total numsteps: 105500, episode steps: 500, reward: [175.67711938 180.59136585 187.05742565 187.39444395 185.9454504 ]
Episode: 212, total numsteps: 106000, episode steps: 500, reward: [177.63774437 183.43649182 187.15063009 190.06648228 184.53390644]
Episode: 213, total numsteps: 106500, episode steps: 500, reward: [178.51935585 183.48201818 184.84914589 188.43235475 182.7583778 ]
Episode: 214, total numsteps: 107000, episode steps: 500, reward: [175.8799844  182.24507897 182.48998705 188.98797892 185.66306792]
Episode: 215, total numsteps: 107500, episode steps: 500, reward: [175.82073439 186.46337721 186.69671826 188.43824321 185.06319457]
Episode: 216, total numsteps: 108000, episode steps: 500, reward: [179.4448363  188.15335259 185.48004332 187.39094747 186.40317609]
Episode: 217, total numsteps: 108500, episode steps: 500, reward: [172.84252102 185.06881618 183.48163674 191.75812323 184.72815385]
Episode: 218, total numsteps: 109000, episode steps: 500, reward: [175.92672359 185.81338667 187.68479121 189.6187182  183.9511518 ]
Episode: 219, total numsteps: 109500, episode steps: 500, reward: [175.96045275 182.0098868  181.73250748 188.88141216 185.72059004]
Episode: 220, total numsteps: 110000, episode steps: 500, reward: [176.0278954  184.9188351  185.26773178 189.33696794 187.09468429]
Episode: 221, total numsteps: 110500, episode steps: 500, reward: [174.35640089 183.28488134 184.01157256 190.69652523 185.43606148]
Episode: 222, total numsteps: 111000, episode steps: 500, reward: [177.7518051  183.65804879 183.68629972 189.17456839 187.66951973]
Episode: 223, total numsteps: 111500, episode steps: 500, reward: [177.34737243 184.1477545  183.08040915 191.69453019 186.63185609]
Episode: 224, total numsteps: 112000, episode steps: 500, reward: [177.20241722 182.7746678  185.97402862 188.36367561 186.55573998]
Episode: 225, total numsteps: 112500, episode steps: 500, reward: [175.15042884 183.21884106 184.03054612 188.51440981 183.9349661 ]
Episode: 226, total numsteps: 113000, episode steps: 500, reward: [177.56867189 182.25741642 182.61840951 191.05318996 188.99427928]
Episode: 227, total numsteps: 113500, episode steps: 500, reward: [177.27751749 181.05277929 185.08311975 190.11566462 184.83236504]
Episode: 228, total numsteps: 114000, episode steps: 500, reward: [177.36215766 184.90636654 183.84669952 187.84855905 188.0253035 ]
Episode: 229, total numsteps: 114500, episode steps: 500, reward: [177.89189945 180.63568608 183.84373533 189.15765302 187.2728088 ]
Episode: 230, total numsteps: 115000, episode steps: 500, reward: [172.73751873 182.35139    184.67683341 189.02522278 187.70878055]
Episode: 231, total numsteps: 115500, episode steps: 500, reward: [177.51459684 182.10024695 184.36117769 190.61686968 186.67935587]
Episode: 232, total numsteps: 116000, episode steps: 500, reward: [177.23088588 184.02695506 185.43824565 189.22139816 185.91216979]
