Episode: 181, total numsteps: 181000, episode steps: 1000, reward: [-669.98294368 -426.02562256 -459.84200593 -310.00612989 -393.67162338]
Episode: 182, total numsteps: 182000, episode steps: 1000, reward: [-661.7406332  -425.3780299  -475.52161682 -310.00612989 -397.30965948]
Episode: 183, total numsteps: 183000, episode steps: 1000, reward: [-664.2388019  -424.11670036 -469.46998718 -310.00612989 -395.0903685 ]
Episode: 184, total numsteps: 184000, episode steps: 1000, reward: [-665.69238831 -425.16997725 -464.3136305  -310.00612991 -395.72661841]
Episode: 185, total numsteps: 185000, episode steps: 1000, reward: [-670.76419808 -425.36138495 -462.22012628 -310.00612987 -395.16466534]
Episode: 186, total numsteps: 186000, episode steps: 1000, reward: [-682.83805493 -425.47403991 -467.96809455 -310.00612986 -394.71593152]
Episode: 187, total numsteps: 187000, episode steps: 1000, reward: [-667.74590843 -425.57892263 -472.75166162 -310.00612989 -396.31362996]
Episode: 188, total numsteps: 188000, episode steps: 1000, reward: [-665.87291442 -425.44535908 -462.49572673 -310.00612989 -395.69053838]
Episode: 189, total numsteps: 189000, episode steps: 1000, reward: [-656.49766978 -427.63762295 -460.84838303 -310.00612989 -394.81136568]
Episode: 190, total numsteps: 190000, episode steps: 1000, reward: [-659.58797527 -426.02357716 -469.45471499 -310.0061299  -396.58775226]
Episode: 191, total numsteps: 191000, episode steps: 1000, reward: [-663.36060995 -425.2890015  -468.34929853 -310.00612989 -394.64165747]
Episode: 192, total numsteps: 192000, episode steps: 1000, reward: [-687.87985594 -427.63898441 -466.46539311 -310.00612989 -397.02284942]
Episode: 193, total numsteps: 193000, episode steps: 1000, reward: [-661.90634189 -424.71392182 -455.38719175 -310.00612989 -395.37052032]
Episode: 194, total numsteps: 194000, episode steps: 1000, reward: [-682.44889213 -424.71391206 -464.62259913 -310.00612989 -396.20439501]
Episode: 195, total numsteps: 195000, episode steps: 1000, reward: [-682.35823994 -423.39781059 -466.6822283  -310.00612989 -395.78921398]
Episode: 196, total numsteps: 196000, episode steps: 1000, reward: [-663.48664002 -425.55660864 -461.26696031 -310.00612989 -394.91253335]
Episode: 197, total numsteps: 197000, episode steps: 1000, reward: [-663.08336013 -425.91873018 -461.66293646 -310.00612989 -398.10930849]
Episode: 198, total numsteps: 198000, episode steps: 1000, reward: [-682.90906053 -425.73294333 -464.94630249 -310.0061299  -395.3500003 ]
Episode: 199, total numsteps: 199000, episode steps: 1000, reward: [-669.04567968 -426.15151889 -468.77109963 -310.00612989 -393.56162481]
Episode: 200, total numsteps: 200000, episode steps: 1000, reward: [-667.26279706 -425.36097176 -457.0788456  -310.00612989 -399.27023921]
Episode: 201, total numsteps: 201000, episode steps: 1000, reward: [-661.97281779 -425.30835819 -467.53440353 -310.0061299  -399.36857556]
Episode: 202, total numsteps: 202000, episode steps: 1000, reward: [-668.84993573 -427.16902188 -471.1255503  -310.0061299  -395.85611737]
Episode: 203, total numsteps: 203000, episode steps: 1000, reward: [-661.34342003 -425.39473752 -464.17090672 -310.00612989 -394.82106943]
Episode: 204, total numsteps: 204000, episode steps: 1000, reward: [-674.94934238 -425.39475014 -466.214344   -310.00612989 -398.81277492]
Episode: 205, total numsteps: 205000, episode steps: 1000, reward: [-668.73378177 -424.92336573 -461.41185253 -310.00612989 -394.94057545]
Episode: 206, total numsteps: 206000, episode steps: 1000, reward: [-662.56062235 -424.13402139 -468.63761675 -310.0061299  -393.89194663]
Episode: 207, total numsteps: 207000, episode steps: 1000, reward: [-666.87051722 -426.83290099 -459.74398352 -310.00612989 -399.98997008]
Episode: 208, total numsteps: 208000, episode steps: 1000, reward: [-667.13657605 -425.84601505 -459.74503462 -310.00612989 -395.28160647]
