Episode: 146, total numsteps: 146000, episode steps: 1000, reward: [-475.36579098 -418.42657856 -379.14446386 -374.86389228 -340.70478145]
Episode: 147, total numsteps: 147000, episode steps: 1000, reward: [-475.36579098 -417.93368859 -379.14446386 -374.26879626 -340.70478145]
Episode: 148, total numsteps: 148000, episode steps: 1000, reward: [-475.36579098 -418.11381768 -379.14446386 -374.00551411 -340.70478145]
Episode: 149, total numsteps: 149000, episode steps: 1000, reward: [-475.36579098 -418.32344817 -379.14446386 -373.82675511 -340.70478145]
Episode: 150, total numsteps: 150000, episode steps: 1000, reward: [-475.36579098 -418.19419172 -379.14446386 -374.32356518 -340.70478145]
Episode: 151, total numsteps: 151000, episode steps: 1000, reward: [-475.36579098 -419.26128265 -379.14446386 -374.51808173 -340.70478145]
Episode: 152, total numsteps: 152000, episode steps: 1000, reward: [-475.36579098 -419.10307581 -379.14446386 -374.94112041 -340.70478145]
Episode: 153, total numsteps: 153000, episode steps: 1000, reward: [-475.36579098 -417.33797562 -379.14446386 -374.77328368 -340.70478145]
Episode: 154, total numsteps: 154000, episode steps: 1000, reward: [-475.36579098 -418.80788536 -379.14446386 -374.47949393 -340.70478145]
Episode: 155, total numsteps: 155000, episode steps: 1000, reward: [-475.36579098 -418.25090209 -379.14446386 -374.47294527 -340.70478145]
Episode: 156, total numsteps: 156000, episode steps: 1000, reward: [-475.36579098 -418.45077151 -379.14446386 -373.9012194  -340.70478145]
Episode: 157, total numsteps: 157000, episode steps: 1000, reward: [-475.36579098 -418.84019214 -379.14446386 -374.38843916 -340.70478145]
Episode: 158, total numsteps: 158000, episode steps: 1000, reward: [-475.36579098 -417.26946552 -379.14446386 -374.15531301 -340.70478145]
Episode: 159, total numsteps: 159000, episode steps: 1000, reward: [-475.36579098 -417.09573499 -379.14446386 -374.19279252 -340.70478145]
Episode: 160, total numsteps: 160000, episode steps: 1000, reward: [-475.36579098 -418.13698961 -379.14446386 -374.49853518 -340.70478145]
Episode: 161, total numsteps: 161000, episode steps: 1000, reward: [-475.36579098 -417.18753984 -379.14446386 -374.0324271  -340.70478145]
Episode: 162, total numsteps: 162000, episode steps: 1000, reward: [-475.36579098 -418.37695638 -379.14446386 -374.80854177 -340.69720202]
Episode: 163, total numsteps: 163000, episode steps: 1000, reward: [-475.36579098 -417.38844235 -379.14446386 -374.38379814 -340.70478145]
Episode: 164, total numsteps: 164000, episode steps: 1000, reward: [-475.36579098 -417.8187528  -379.14446386 -374.37096031 -340.70478145]
Episode: 165, total numsteps: 165000, episode steps: 1000, reward: [-475.36579098 -418.0139461  -379.14446386 -374.26204274 -340.70478145]
